Año,Actividad_Economica,Seccional,Total_Ingresos,Total_Retencion,Numero_Declaraciones,Variacion_Anual,Retencion_Promedio,Ratio_Retencion,Riesgo_Tributario
2020,Agropecuario,Medellin,4958575591.0,213556972.44,681,-0.2133,313593.2,0.0431,Bajo
2024,Educacion,Bogota,1356710475.0,50843923.44,272,0.0308,186926.19,0.0375,Bajo
2020,Construccion,Barranquilla,2303890010.0,86367002.78,701,-0.2197,123205.42,0.0375,Bajo
2021,Agropecuario,Villavicencio,2008805693.0,14574233.23,977,-0.1202,14917.33,0.0073,Alto
2020,Agropecuario,Barranquilla,4272944499.0,155364454.24,150,0.309,1035763.03,0.0364,Bajo
2024,Educacion,Barranquilla,782395540.0,22007970.2,293,0.3668,75112.53,0.0281,Medio
2023,Financiero,Bucaramanga,118574553.0,908871.89,359,-0.0933,2531.68,0.0077,Alto
2020,Servicios,Cartagena,4869117510.0,182006668.65,795,-0.2276,228939.21,0.0374,Bajo
2022,Tecnologia,Cali,4479456860.0,260865239.43,749,0.0423,348284.7,0.0582,Bajo
2021,Salud,Medellin,4009419695.0,83954700.79,481,-0.1226,174542.0,0.0209,Medio
2020,Educacion,Medellin,4178202429.0,87195571.59,739,0.2358,117991.3,0.0209,Medio
2022,Salud,Villavicencio,3609400500.0,130052358.14,236,-0.0674,551069.31,0.036,Bajo
2022,Comercio,Cucuta,1322485020.0,64176792.47,84,-0.2398,764009.43,0.0485,Bajo
2024,Construccion,Cartagena,3366766039.0,83843005.8,667,-0.2464,125701.66,0.0249,Medio
2020,Agropecuario,Bucaramanga,904021618.0,38870873.78,694,0.2636,56009.9,0.043,Bajo
2024,Salud,Villavicencio,368019332.0,20508043.24,60,0.3447,341800.72,0.0557,Bajo
2021,Construccion,Bogota,2727045063.0,76543080.16,52,-0.2087,1471982.31,0.0281,Medio
2021,Tecnologia,Medellin,2922651325.0,60968355.74,118,0.1343,516680.98,0.0209,Medio
2021,Construccion,Cartagena,2078147648.0,50311453.18,962,0.2136,52298.81,0.0242,Medio
2022,Transporte,Pereira,3149804676.0,108838594.76,786,-0.0836,138471.49,0.0346,Bajo
2021,Salud,Pereira,2295120392.0,99191540.4,877,-0.2335,113103.24,0.0432,Bajo
2021,Tecnologia,Medellin,916377394.0,3503212.51,762,0.059,4597.39,0.0038,Alto
2024,Servicios,Manizales,2234294495.0,94599879.25,504,-0.088,187698.17,0.0423,Bajo
2021,Servicios,Cucuta,2368599822.0,108533900.6,55,0.3629,1973343.65,0.0458,Bajo
2023,Tecnologia,Manizales,1294473018.0,54753006.29,815,0.3543,67181.6,0.0423,Bajo
2021,Salud,Bogota,1319737021.0,51123204.47,665,0.0467,76877.0,0.0387,Bajo
2021,Comercio,Pereira,3898682843.0,88364717.25,209,-0.1785,422797.69,0.0227,Medio
2023,Tecnologia,Medellin,2831807898.0,75813873.93,647,-0.0208,117177.55,0.0268,Medio
2021,Financiero,Pereira,79859174.0,922376.61,430,0.0213,2145.06,0.0116,Medio
2021,Transporte,Cartagena,3023990112.0,27071337.99,703,-0.0913,38508.3,0.009,Alto
2023,Servicios,Bucaramanga,1438146037.0,21123956.01,491,0.207,43022.31,0.0147,Medio
2021,Manufactura,Manizales,328710077.0,19184624.82,583,-0.0895,32906.73,0.0584,Bajo
2024,Tecnologia,Villavicencio,2185666049.0,94664899.57,632,-0.0649,149786.23,0.0433,Bajo
2023,Financiero,Cartagena,1195815738.0,44669375.66,661,0.0172,67578.48,0.0374,Bajo
2022,Manufactura,Cali,1246777444.0,27446723.71,404,-0.0943,67937.43,0.022,Medio
2024,Transporte,Medellin,4692229686.0,216658721.14,142,-0.0926,1525765.64,0.0462,Bajo
2020,Construccion,Cali,2765732851.0,163284835.56,926,0.2807,176333.52,0.059,Bajo
2021,Educacion,Villavicencio,1427739899.0,44938868.67,483,-0.2235,93041.14,0.0315,Bajo
2020,Educacion,Cartagena,995928099.0,2950032.72,982,0.2762,3004.11,0.003,Alto
2024,Transporte,Manizales,798898099.0,45177966.59,955,0.0014,47306.77,0.0566,Bajo
2022,Agropecuario,Bogota,2952066954.0,64301474.74,492,-0.1141,130694.05,0.0218,Medio
2020,Agropecuario,Bucaramanga,3818143837.0,161719372.82,282,0.179,573472.95,0.0424,Bajo
2022,Construccion,Bucaramanga,2268934259.0,74238924.38,21,0.3976,3535186.88,0.0327,Bajo
2023,Servicios,Cucuta,3917266084.0,208370774.05,28,-0.0687,7441813.36,0.0532,Bajo
2020,Tecnologia,Manizales,3167955887.0,161902650.47,423,0.3266,382748.58,0.0511,Bajo
2021,Agropecuario,Medellin,4068521712.0,46277259.51,441,0.1848,104937.1,0.0114,Medio
2022,Agropecuario,Villavicencio,4384468322.0,103440132.46,492,0.1813,210244.17,0.0236,Medio
2021,Servicios,Pereira,1269431313.0,14378679.63,357,0.0656,40276.41,0.0113,Medio
2021,Agropecuario,Manizales,2850152271.0,170092905.88,180,-0.2383,944960.59,0.0597,Bajo
2020,Financiero,Pereira,2874425872.0,57107730.54,707,-0.1891,80774.72,0.0199,Medio
2023,Comercio,Medellin,2783027797.0,48373858.14,769,0.1334,62904.89,0.0174,Medio
2022,Tecnologia,Barranquilla,3881310773.0,211739978.74,46,0.2666,4603043.02,0.0546,Bajo
2020,Manufactura,Villavicencio,1038638203.0,45598525.68,678,0.1218,67254.46,0.0439,Bajo
2020,Construccion,Cucuta,4411352936.0,252674210.73,368,0.0283,686614.7,0.0573,Bajo
2020,Agropecuario,Cali,2507977438.0,145186710.23,135,-0.0586,1075457.11,0.0579,Bajo
2021,Transporte,Manizales,869956639.0,44686129.17,275,0.0654,162495.02,0.0514,Bajo
2021,Tecnologia,Manizales,2498394087.0,15200568.38,645,0.1498,23566.77,0.0061,Alto
2024,Educacion,Barranquilla,1318263401.0,69719837.77,804,0.3016,86716.22,0.0529,Bajo
2024,Manufactura,Bucaramanga,3067146154.0,132245643.29,58,-0.0592,2280097.3,0.0431,Bajo
2023,Salud,Cucuta,1852945049.0,90769435.12,940,0.1475,96563.23,0.049,Bajo
2024,Transporte,Medellin,2203996088.0,84672848.56,39,0.1725,2171098.68,0.0384,Bajo
2021,Manufactura,Medellin,4563016461.0,244670356.38,490,-0.232,499327.26,0.0536,Bajo
2022,Comercio,Villavicencio,4748616641.0,130261673.28,978,-0.2266,133191.89,0.0274,Medio
2024,Manufactura,Villavicencio,715898681.0,23963554.9,144,0.2953,166413.58,0.0335,Bajo
2021,Comercio,Medellin,4475964885.0,73918675.29,701,0.2847,105447.47,0.0165,Medio
2020,Manufactura,Medellin,3605670279.0,168239226.98,639,0.1549,263285.18,0.0467,Bajo
2020,Salud,Medellin,884855903.0,29039704.18,66,0.2047,439995.52,0.0328,Bajo
